"","asv_code","kingdom","supergroup","division","class","order","family","genus","species","casv_code","PR2_matches","biogeo","taxon_level","trophic_mode"
"91","4a27bb0dfe","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Entomoneis","Entomoneis_ornata","8117095607","  0","Unallocated","class","photosynthetic"
"92","93bf922093","Eukaryota","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Protaspa-lineage","Protaspa-lineage_X","Protaspa-lineage_X_sp.","de60d92469","  0","Polar","class","heterotrophic"
"93","a0cc2852b7","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp.","5a7a933172","  0","Polar-Temperate","class","photosynthetic"
"94","fd2d9bed22","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Raphid-pennate_X","Raphid-pennate_X_sp.","fd2d9bed22","  0","Unallocated","class","photosynthetic"
"95","9f3bb370de","Eukaryota","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia-Group-1","Telonemia-Group-1_X","Telonemia-Group-1_X_sp.","0c787e7d0e","  0","Polar","class","heterotrophic"
"96","ce8bd4f755","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_XX","Pyramimonadales_XX_sp.","6025304228","  0","Polar","order","mixotrophic"
"97","d9ed0b20e5","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas_propulsa","594773697f","  1","Temperate","genus","mixotrophic"
"98","1999d53b1a","Eukaryota","Stramenopiles","Sagenista","MAST-8","MAST-8A","MAST-8A_X","MAST-8A_XX","MAST-8A_XX_sp.","6d84b9a834","  0","Polar-Temperate","class","heterotrophic"
"99","bd3e9feaef","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp.","bd3e9feaef","  0","Unallocated","class","photosynthetic"
"100","282540c899","Eukaryota","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Cryothecomonas-lineage","Cryothecomonas","Cryothecomonas_aestivalis","1d1ac8a16a","  0","Polar-Temperate","species","mixotrophic"
"101","35dd9ad32d","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Raphid-pennate_X","Raphid-pennate_X_sp.","6480ccf6dd","  0","Polar","class","photosynthetic"
"102","4503e6f6bc","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-C","Chrysophyceae_Clade-C_X","Chrysophyceae_Clade-C_X_sp.","f7a83b400e","  0","Polar","class","mixotrophic"
"103","4de55affda","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Porosira","Porosira_sp.","4de55affda","  0","Unallocated","class","photosynthetic"
"104","e75cc3ac5e","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.","af6b37cf8d","  0","Temperate-Tropical","class","heterotrophic"
"105","53b092848a","Eukaryota","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia-Group-2","Telonemia-Group-2_X","Telonemia-Group-2_X_sp.","2e85781c2d","  0","Polar","class","heterotrophic"
"106","5577957b1e","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.","5577957b1e","  0","Polar-Temperate","class","heterotrophic"
"107","3105a2354e","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Strombidiidae_M","Strombidiidae_M_X","Strombidiidae_M_X_sp.","23b5a215cb","  0","Polar-Temperate","class","heterotrophic"
"108","a510639a21","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales_clade_B","Pelagomonadales_clade_B1","Pelagomonadales_clade_B1_sp.","e0b0bdad4f","  0","Polar-Temperate","division","photosynthetic"
"109","56908dea2d","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.","d71b0c77e6","  0","Polar-Temperate","class","heterotrophic"
"110","d103b41d1b","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Pinnularia","Pinnularia_sp.","d103b41d1b","  0","Unallocated","class","photosynthetic"
"111","8d3872234b","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_paxillifer","5db6255e28","  0","Polar","class","photosynthetic"
"112","f383f9926e","Eukaryota","Stramenopiles","Stramenopiles_X","Stramenopiles_XX","Stramenopiles_XXX","Stramenopiles_XXXX","Stramenopiles_XXXXX","Stramenopiles_XXXXX_sp.","0e8cd53a2b","  0","Polar","class","heterotrophic"
"113","814086cfc6","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","f458005d3a","  1","Polar","genus","photosynthetic"
"114","eb27ec13a7","Eukaryota","Stramenopiles","Pseudofungi","MAST-1","MAST-1B","MAST-1B_X","MAST-1B_XX","MAST-1B_XX_sp.","0ad3beff02","  0","Polar-Temperate","class","heterotrophic"
"115","1d930f32e6","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp.","92bf594c61","  0","Polar","class","mixotrophic"
"116","e5794a80dd","Eukaryota","Stramenopiles","Sagenista","MAST-7","MAST-7A","MAST-7A_X","MAST-7A_XX","MAST-7A_XX_sp.","22828078f4","  0","Polar-Temperate","class","heterotrophic"
"117","92bd24f047","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_paxillifer","92bd24f047","  0","Unallocated","class","photosynthetic"
"118","31c7a76335","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_kuwadae","23fa558716"," 12","Unallocated","order","photosynthetic"
"119","f636c8035a","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Protodinium","Protodinium_simplex","e75657b0d7","  3","Temperate-Tropical","order","dinoflagellata"
