"","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"121","0231a5652a",0,0,30,27,0,57,0,0,0,0.526315789473684,0.473684210526316,0.526315789473684,0.473684210526316,"Polar-Temperate"
"122","0231cbdefc",0,9,36,0,55,100,0,0.09,0.55,0.36,0,0.45,0,"Temperate-Tropical"
"123","0232315092",13,6,10,16,0,45,0.288888888888889,0.133333333333333,0,0.222222222222222,0.355555555555556,0.355555555555556,0.644444444444444,"Polar-Temperate"
"124","0232fdb636",0,0,11,11,0,22,0,0,0,0.5,0.5,0.5,0.5,"Polar-Temperate"
"125","02332f6aa1",0,0,9,0,0,9,0,0,0,1,0,1,0,"Temperate"
"126","023417379c",0,0,0,0,5,5,0,0,1,0,0,0,0,"Tropical"
"127","023664528c",0,13,0,0,0,13,0,1,0,0,0,1,0,"Temperate"
"128","023db2dd7c",0,0,7,14,0,21,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,"Polar-Temperate"
"129","0242c61923",0,0,19,13,0,32,0,0,0,0.59375,0.40625,0.59375,0.40625,"Polar-Temperate"
"130","0244293a45",0,0,0,0,5,5,0,0,1,0,0,0,0,"Tropical"
"131","02451b5534",30,0,6,0,0,36,0.833333333333333,0,0,0.166666666666667,0,0.166666666666667,0.833333333333333,"Polar-Temperate"
"132","02463722d1",6,13,0,0,0,19,0.315789473684211,0.684210526315789,0,0,0,0.684210526315789,0.315789473684211,"Polar-Temperate"
"133","024a7655b7",0,19,38,0,57,114,0,0.166666666666667,0.5,0.333333333333333,0,0.5,0,"Temperate-Tropical"
"134","024eca509f",0,10,7,0,0,17,0,0.588235294117647,0,0.411764705882353,0,1,0,"Temperate"
"135","0252e092ad",0,0,7,7,0,14,0,0,0,0.5,0.5,0.5,0.5,"Polar-Temperate"
"136","025e72c0f5",26,0,0,0,0,26,1,0,0,0,0,0,1,"Polar"
"137","0260af6eb4",0,0,5,0,0,5,0,0,0,1,0,1,0,"Temperate"
"138","0265fbb023",0,0,0,0,10,10,0,0,1,0,0,0,0,"Tropical"
"139","0271202d29",39,0,0,0,0,39,1,0,0,0,0,0,1,"Polar"
"140","027755de5c",0,28,54,0,65,147,0,0.19047619047619,0.442176870748299,0.36734693877551,0,0.557823129251701,0,"Temperate-Tropical"
"141","027af7257d",0,0,41,28,0,69,0,0,0,0.594202898550725,0.405797101449275,0.594202898550725,0.405797101449275,"Polar-Temperate"
"142","027c19f1bc",0,21,18,0,60,99,0,0.212121212121212,0.606060606060606,0.181818181818182,0,0.393939393939394,0,"Temperate-Tropical"
"143","02822e1b69",0,0,8,6,0,14,0,0,0,0.571428571428571,0.428571428571429,0.571428571428571,0.428571428571429,"Polar-Temperate"
"144","02825e67b6",0,0,28,16,0,44,0,0,0,0.636363636363636,0.363636363636364,0.636363636363636,0.363636363636364,"Polar-Temperate"
"145","028704c4b6",0,0,8,0,26,34,0,0,0.764705882352941,0.235294117647059,0,0.235294117647059,0,"Temperate-Tropical"
"146","028c500083",43,0,7,0,0,50,0.86,0,0,0.14,0,0.14,0.86,"Polar-Temperate"
"147","028ddff8df",23,0,16,5,0,44,0.522727272727273,0,0,0.363636363636364,0.113636363636364,0.363636363636364,0.636363636363636,"Polar-Temperate"
"148","028e2a7d74",0,8,0,0,0,8,0,1,0,0,0,1,0,"Temperate"
"149","029062678f",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"150","02942874f0",0,0,6,0,0,6,0,0,0,1,0,1,0,"Temperate"
"151","0299b43a20",6,0,29,28,0,63,0.0952380952380952,0,0,0.46031746031746,0.444444444444444,0.46031746031746,0.53968253968254,"Polar-Temperate"
"152","029d0b6202",0,25,0,0,0,25,0,1,0,0,0,1,0,"Temperate"
"153","029dbff2c1",0,5,30,0,19,54,0,0.0925925925925926,0.351851851851852,0.555555555555556,0,0.648148148148148,0,"Temperate-Tropical"
"154","02a2365b4f",0,0,26,10,0,36,0,0,0,0.722222222222222,0.277777777777778,0.722222222222222,0.277777777777778,"Polar-Temperate"
"155","02af01465a",0,16,0,0,0,16,0,1,0,0,0,1,0,"Temperate"
"156","02b41f2cc4",0,0,5,0,0,5,0,0,0,1,0,1,0,"Temperate"
"157","02b78cf90b",0,5,6,0,0,11,0,0.454545454545455,0,0.545454545454545,0,1,0,"Temperate"
"158","02c70dc7f6",0,0,0,0,10,10,0,0,1,0,0,0,0,"Tropical"
"159","02c8958ac5",5,0,13,5,0,23,0.217391304347826,0,0,0.565217391304348,0.217391304347826,0.565217391304348,0.434782608695652,"Polar-Temperate"
"160","02ca732d1c",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
"161","02d10c8969",0,0,0,0,7,7,0,0,1,0,0,0,0,"Tropical"
"162","02d26d1576",0,0,5,0,63,68,0,0,0.926470588235294,0.0735294117647059,0,0.0735294117647059,0,"Tropical"
"163","02d4c13369",0,0,5,0,0,5,0,0,0,1,0,1,0,"Temperate"
"164","02dd78bf67",0,24,8,0,6,38,0,0.631578947368421,0.157894736842105,0.210526315789474,0,0.842105263157895,0,"Temperate-Tropical"
"165","02e0ebce3f",0,8,0,0,5,13,0,0.615384615384615,0.384615384615385,0,0,0.615384615384615,0,"Temperate-Tropical"
"166","02eb8e6539",0,0,0,0,8,8,0,0,1,0,0,0,0,"Tropical"
"167","02f41ac9c1",0,0,11,0,0,11,0,0,0,1,0,1,0,"Temperate"
"168","02f5a6f86f",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"169","02f5c2c734",10,64,84,0,107,265,0.0377358490566038,0.241509433962264,0.40377358490566,0.316981132075472,0,0.558490566037736,0.0377358490566038,"Temperate-Tropical"
"170","02f6e314dc",0,0,5,6,0,11,0,0,0,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,"Polar-Temperate"
"171","02fa1f93ce",60,71,66,0,51,248,0.241935483870968,0.286290322580645,0.205645161290323,0.266129032258065,0,0.55241935483871,0.241935483870968,"Cosmopolitan"
"172","02fe6b4f8f",6,0,6,0,0,12,0.5,0,0,0.5,0,0.5,0.5,"Polar-Temperate"
"173","0302913fc0",0,10,0,0,0,10,0,1,0,0,0,1,0,"Temperate"
"174","030f4b50ae",0,0,7,5,0,12,0,0,0,0.583333333333333,0.416666666666667,0.583333333333333,0.416666666666667,"Polar-Temperate"
"175","0314042041",0,23,0,0,0,23,0,1,0,0,0,1,0,"Temperate"
"176","0314459300",0,0,15,12,0,27,0,0,0,0.555555555555556,0.444444444444444,0.555555555555556,0.444444444444444,"Polar-Temperate"
"177","0316e4252d",0,5,8,0,27,40,0,0.125,0.675,0.2,0,0.325,0,"Temperate-Tropical"
"178","031845e115",0,0,9,8,0,17,0,0,0,0.529411764705882,0.470588235294118,0.529411764705882,0.470588235294118,"Polar-Temperate"
"179","031984e677",0,0,0,0,7,7,0,0,1,0,0,0,0,"Tropical"
"180","031c03e8c0",0,18,0,0,0,18,0,1,0,0,0,1,0,"Temperate"
