"","DNA.GE.IC.10","DNA.GE.IC.101","DNA.GE.IC.102","DNA.GE.IC.103","DNA.GE.IC.104","DNA.GE.IC.106","DNA.GE.IC.107","DNA.GE.IC.108","DNA.GE.IC.109","DNA.GE.IC.110","DNA.GE.IC.111","DNA.GE.IC.112","DNA.GE.IC.113","DNA.GE.IC.114","DNA.GE.IC.115","DNA.GE.IC.116","DNA.GE.IC.117","DNA.GE.IC.118","DNA.GE.IC.119","DNA.GE.IC.12","DNA.GE.IC.120","DNA.GE.IC.121","DNA.GE.IC.122","DNA.GE.IC.123","DNA.GE.IC.124","DNA.GE.IC.125","DNA.GE.IC.126","DNA.GE.IC.127","DNA.GE.IC.128","DNA.GE.IC.129","DNA.GE.IC.13","DNA.GE.IC.130","DNA.GE.IC.131","DNA.GE.IC.132","DNA.GE.IC.133","DNA.GE.IC.134","DNA.GE.IC.135","DNA.GE.IC.136","DNA.GE.IC.137","DNA.GE.IC.139","DNA.GE.IC.14","DNA.GE.IC.140","DNA.GE.IC.141","DNA.GE.IC.142","DNA.GE.IC.143","DNA.GE.IC.144","DNA.GE.IC.145","DNA.GE.IC.146","DNA.GE.IC.147","DNA.GE.IC.148","DNA.GE.IC.149","DNA.GE.IC.15","DNA.GE.IC.150","DNA.GE.IC.16","DNA.GE.IC.17","DNA.GE.IC.19","DNA.GE.IC.20","DNA.GE.IC.21","DNA.GE.IC.22","DNA.GE.IC.25","DNA.GE.IC.26","DNA.GE.IC.27","DNA.GE.IC.28","DNA.GE.IC.31","DNA.GE.IC.32","DNA.GE.IC.33","DNA.GE.IC.34","DNA.GE.IC.35","DNA.GE.IC.36","DNA.GE.IC.37","DNA.GE.IC.38","DNA.GE.IC.39","DNA.GE.IC.40","DNA.GE.IC.41","DNA.GE.IC.42","DNA.GE.IC.43","DNA.GE.IC.44","DNA.GE.IC.45","DNA.GE.IC.47","DNA.GE.IC.49","DNA.GE.IC.50","DNA.GE.IC.51","DNA.GE.IC.53","DNA.GE.IC.54","DNA.GE.IC.55","DNA.GE.IC.56","DNA.GE.IC.57","DNA.GE.IC.58","DNA.GE.IC.60","DNA.GE.IC.61","DNA.GE.IC.64","DNA.GE.IC.67","DNA.GE.IC.7","DNA.GE.IC.70","DNA.GE.IC.72","DNA.GE.IC.73","DNA.GE.IC.75","DNA.GE.IC.76","DNA.GE.IC.79","DNA.GE.IC.8","DNA.GE.IC.80","DNA.GE.IC.82","DNA.GE.IC.83","DNA.GE.IC.87","DNA.GE.IC.89","DNA.GE.IC.9","DNA.GE.IC.90","DNA.GE.IC.92","DNA.GE.IC.93","DNA.GE.IC.94","DNA.GE.IC.95","DNA.GE.IC.96","DNA.GE.IC.97","DNA.GE.IC.98","DNA.GE.IC.99","DNA.GE.IC.1","DNA.GE.IC.105","DNA.GE.IC.2","DNA.GE.IC.24","DNA.GE.IC.29","DNA.GE.IC.3","DNA.GE.IC.30","DNA.GE.IC.48","DNA.GE.IC.5","DNA.GE.IC.59","DNA.GE.IC.65","DNA.GE.IC.78","DNA.GE.IC.81","DNA.GE.IC.86","DNA.GE.IC.11","DNA.GE.IC.18","DNA.GE.IC.6","DNA.GE.IC.63","DNA.GE.IC.71","DNA.GE.IC.77","DNA.GE.IC.85","DNA.GE.IC.23"
"307d348192",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0,93,0,7,11,0,9,10,0,9,0,0,0,0,0,0,10,16,11,30,0,0,0,38,39,41,45,0,7,42,66,198,6,82,142,0,691,586,581,765,161,27,1108,0,137,53,0,14,0,50,0,29,25,0,71,45,0,8,0,0,0,85,406,233,0,0,468,723,409,0,0,0,0,0,13,0,640,0,2125,123,9,0,85,10,0,0,37,31,13,0,0
"23bf8141ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,0,46,23,32,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7bdf820b47",51,499,477,505,525,0,154,263,340,329,0,0,170,232,207,486,0,0,59,0,223,187,319,0,0,15,58,89,316,0,25,0,29,53,72,88,0,0,79,147,0,215,0,0,6,0,6,8,7,7,11,32,37,47,0,12,0,23,49,0,0,0,37,5,0,3,9,0,0,0,10,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"d61ac1ace3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,9,0,0,107,70,31,0,6,11,16,0,0,0,27,26,5,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e63043d86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23,8,0,0,0,20,26,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,0,26,0,21,0,0,37,22,0,90,158,72,0,392,145,306,0,97,21,17,0,0,0,12,0,0,0,0,0,35,23,0,0,0,0,25,290,483,853,973,804,0,851,34,43,67,0,80,228,127,23,140,3923,23,1108,312,42,2983,30,0,123,1786,598,83,0,666,204,46,81,0,34,0,0,0,0,0,946,0,824,29,248,193,6520,0,0,0,61,14,18,11525,0
"44c7cdeec9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"214eefc396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"98c6724fd6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50b4e7ec26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,29,0,0,0,0,0,40,41,0,0,84,68,0,155
"dbc63d164b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58923a5e54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,16,10,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5be2174fbd",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,8,0,0,2,5,0,9,0,0,0,0,3,0,10,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"da093e6bd5",30,353,438,423,474,0,132,223,241,342,0,0,131,217,196,449,0,0,47,0,175,138,292,0,0,20,89,90,340,0,18,0,65,66,89,91,0,0,181,193,0,291,0,13,6,15,14,8,9,5,11,13,59,38,0,0,12,28,53,0,5,7,57,12,0,12,16,0,0,38,38,31,54,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,7,13,0,24,23,8,0,12,0,11,0,19,0,24,0,0,0,14,0,17,18,19,0,0,6,5,24,11,0,24,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0
"aa8b23ca24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d52397222",33,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,0,0,0,160,0,0,0,0,0,7,5,0,0,74,0,47,0,0,0,0,10,0,0,0,69,0,37,383,161,135,137,66,34,66,55,97,21,22,29,76,269,118,0,0,0,21,236,93,8,0,14,0,15,0,76,0,0,0,0,0,27,0,0,0,60,57,0,0,0,0,0,160,37,134,62,344,33,0,0,81,32,18,0,156,119,14,0,0,0,53,16,204,72,31,57,0,556,0,213,141,0,0,218,235,88,0,132,143,31,1476
"b18edf4b09",0,0,0,0,0,115,11,23,8,5,107,89,12,0,18,7,109,96,0,19,22,6,8,37,135,0,14,14,0,0,11,7,17,18,10,14,0,0,0,0,16,0,225,86,0,0,0,0,0,0,0,14,0,0,0,0,9,9,12,0,9,10,0,14,15,11,15,0,0,17,15,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3
"4a558184c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"08d0947871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"3db259488e",137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,37,0,0,0,139,201,70,270,0,0,18,100,0,129,0,143,52,48,70,72,0,0,56,62,24,76,168,0,0,229,276,235,272,0,0,808,917,1630,61,621,1016,0,4900,4691,2925,2412,611,221,1865,331,1463,171,70,144,0,0,0,71,0,111,179,336,20,0,0,115,0,0,0,0,0,0,1640,1662,1736,44,0,91,0,0,170,0,538,66,3221,0,63,54,49,0,31,0,1047,0,0,168,0
"8ddd1bcb4c",34,0,4,6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,7,0,0,0,0,0,3,40,40,0,85,0,0,0,0,0,0,0,15,23,14,16,11,0,0,4,168,76,198,157,0,0,189,134,197,248,0,20,92,100,223,0,23,45,0,338,228,274,399,33,13,105,28,501,65,32,55,4,0,0,0,30,53,73,0,0,0,0,29,0,1008,326,215,0,0,493,525,739,0,17,32,0,0,42,0,61,48,106,343,13,20,0,0,0,0,719,0,0,0,0
"19b4f273f5",66,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,17,39,0,137,95,359,292,205,0,665,19,124,111,0,48,0,49,0,123,161,46,0,129,0,0,0,40,0,67,0,96,0,0,114,80,97,0,0,0,0,0,0,0,444,0,977,14,0,21,62,0,0,0,147,0,0,195,0
"43f9a7517c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,51,55,0,0,36,0,0,103,337,823,295,79,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,66,248,0,0,232,76,248,0,0,0,0,0,0,0,142,0,131,0,0,0,0,0,0,0,0,0,0,0,0
"1569a5cec7",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,20,0,398,0,0,0,0,19,0,0,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,200,98,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,286,52,0,0,50,0,0,0,204,0,488,0,709,0,0,0,190,271,0,0,0,0,0,0,488,404,0,202,0,253,0,374,452,124,18,194,446,0,0,60,89,0,283
"d1d57ff600",0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,14,33,0,0,0,0,22,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,5,47,162,57,45,21,10,19,17,13,0,8,0,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,16,29,11,10,53,87,22,23,108,9,117,23,6,27,37,0,35,18,38,50,13,0,0,0,3,0,4,0,77,38,0,50,0,44,0,24,302,49,51,51,183,30,8,190,107,14,4
"6cc8c343d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,115,90,59,0,0,73,0,320,53,0,0,161,227,0,13,185,0,142,0,20,0,0,0,0,21,229,74,0,57,130,120,95,0,0,0,21,0,0,0,0,27,39,114,86,71,48,17,0,0,147,52,0,36,0
"b105e13582",0,0,0,0,0,0,0,0,0,0,15,6,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,217,46,47,37,0,28,15,0,0,0,0,0,0,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,118,37,29,15,113,62,0,170,0,296,94,207,0,0,11,0,27,0,0,0,34,0,0,0,0,27,0,0,8,0,0,0,28,0,86,37,62,97,144,25,0,25,215,112,42,59
"5df1145ff4",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,25,147,0,17,300,207,35,17,128,0,159,0,127,0,103,0,166,34,50,30,99,357,0,0,0,0,30,0,48,0,0,0,0,69,0,181,315,99,39,64,93,0,25,208,103,0,0
"a98e671117",0,18,17,7,20,153,4,14,18,2,367,129,6,10,9,5,597,454,8,0,9,7,0,130,131,0,0,0,0,227,8,89,0,0,0,0,25,28,0,0,4,0,22,19,0,0,0,0,0,0,0,0,0,2,34,0,7,3,0,0,0,5,6,0,0,4,4,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,319,0,18,30,0,27,0,37,0,0,9,0,0,33,29,27,0,0,0,0,9
"6b370bd394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,45,37,25,10,0,0,9,24,0,5,0,8,0,109,0,0,0,0,0,36,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,143,80,18,21,10,57,27,30,130,0,197,48,232,16,30,12,6,53,33,46,348,97,4,0,0,0,0,0,0,0,13,0,0,0,0,102,17,18,75,42,0,0,73,151,110,21,40
"2f68b506ea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,84,0,66,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,115,0,0,158,0,0,78,200,0,0,220,352,0,292
"11b3fadc8f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,68,53,24,0,0,0,0,0,0,0,0,0,22,144,0,0,0,0,53,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,411,0,0,0,142,0,0,0,88,265,0,0,0,0,0,0,62,0,0,102,0,82,0,0,0,0,0,53,0,84,0,0,78,0,168
"e371a42b1b",0,0,0,0,0,31,0,0,0,0,52,0,0,0,0,0,63,0,0,13,0,0,0,90,23,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,22,0,0,0,0,0,0,0,0,0,0,19,34,0,0,0,0,17,34,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,16,196,0,24,0,0,12,0,0,118,78,0,0,0,0,0,0,45,41,0,0,0,53,0,9,15,0,0,76,33,95,9,65,61,0,97
"1723c298d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6592896483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,36,0,0,160,60,57,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,39,87,43,0,151,0,128,0,78,0,0,0,0,0,0,0,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,67,81,61,0,42,0,0,0,99,434,0,8
"3ceb8e8f29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,57,72,67,56,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,55,0,0,0,70,0,25,0,0,0,0,0,0,42,77,0,184,48,0,0,0,0,0,0,0,0,0,0,0
"3a43082add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,31,65,0,128,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,53,68,0,0,0,0,0,43,164,0,0
"6868deb22e",0,0,5,7,14,51,0,0,11,5,104,114,7,8,8,13,34,64,27,35,13,6,8,56,163,132,25,15,11,139,7,69,0,0,5,0,105,18,0,0,0,4,10,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,4,10,0,0,0,0,0,18,30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,46,0,51,0,0,38,0,0,0,0,0,0,0,12,0,13,0,0,0,0,11
"08d198307d",0,0,0,0,0,20,0,0,0,0,98,24,0,4,3,3,100,52,0,5,0,0,0,191,16,0,0,0,0,71,0,8,0,0,1,0,17,9,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,20,0,12,0,0,8,20,21,19,36,38,42,23,0,11,34,12,22,25,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,5,0,0,0,0,0,0,4,6,0,8,0,7,31,0,5,0,21,0,4,9,0,0,21,13,50,0,7,11,0,20
"68e6cfd9ef",0,36,20,24,24,124,0,18,14,14,44,85,0,11,12,16,67,129,7,0,0,0,20,35,90,0,0,6,14,79,0,87,16,19,18,10,68,130,72,82,0,48,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe213a3d82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,19,0,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,0,0,0,0,0,37,33,18,54,29,0,4,13,8,0,0,14,37,7,0,11,0,0,0,7,0,7,0,0,9,37,33,8,0,4,55,29,46,0,0,0,0,0,0,0,27,0,5,5,16,7,0,0,0,0,0,0,0,0,0
"155f784526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,786,0,0,0,45,0,72,63,120,0,0
"66cfd4d7bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,38,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,35,0,0,0,0,0,0,0,81,0,0,0,150,239,0,0,0,0,0,0,0,63,0,152,0,0,0,0,131,0,0,28,76,0,0,0,0,0,0
"9048560a21",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,13,36,25,10,20,0,0,0,0,19,0,0,0,15,42,0,0,0,0,0,21,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,29,31,20,12,0,24,6,18,111,16,82,33,0,0,90,0,0,12,17,0,55,22,0,0,0,0,9,26,0,69,0,0,0,53,0,52,23,37,30,30,15,0,0,39,83,0,7
