"","asv_code","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"244","6799cd61c5","11feec78d3",20,0,0,0,0,20,1,0,0,0,0,0,1,"Polar"
"246","1d5853ea32","ed27eb7601",19,0,0,0,0,19,1,0,0,0,0,0,1,"Polar"
"247","28f5bb0ac2","884b64120e",0,0,12,8,0,20,0,0,0,0.6,0.4,0.6,0.4,"Polar-Temperate"
"248","09ae8838e5","ad837b2587",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"249","03af6c5c2a","03af6c5c2a",0,8,9,0,0,17,0,0.470588235294118,0,0.529411764705882,0,1,0,"Temperate"
"253","499a2bf8d0","2a0e0fc206",64,131,130,0,48,373,0.171581769436997,0.351206434316354,0.128686327077748,0.348525469168901,0,0.699731903485255,0.171581769436997,"Cosmopolitan"
"255","c281724cb5","21f220e2e6",22,0,0,0,0,22,1,0,0,0,0,0,1,"Polar"
"257","c9306bdcd1","8ce3d7c533",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"262","ab1ca09307","3f33f74370",21,34,13,0,0,68,0.308823529411765,0.5,0,0.191176470588235,0,0.691176470588235,0.308823529411765,"Polar-Temperate"
"263","d728136fb1","2330ac8a7d",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
"265","e452f1f6d1","afeffab910",82,14,12,0,0,108,0.759259259259259,0.12962962962963,0,0.111111111111111,0,0.240740740740741,0.759259259259259,"Polar-Temperate"
"267","d61ac1ace3","7e47e5d9dd",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"270","ce8bd4f755","6025304228",45,0,0,0,0,45,1,0,0,0,0,0,1,"Polar"
"272","b7f6d9e2f7","09608cf4de",0,6,13,14,0,33,0,0.181818181818182,0,0.393939393939394,0.424242424242424,0.575757575757576,0.424242424242424,"Polar-Temperate"
"273","e89234e684","2e28b38d89",40,0,0,0,0,40,1,0,0,0,0,0,1,"Polar"
"276","bdff0850a5","3bf34301be",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"279","9568080bb0","1103c98c7f",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"281","2f4aac3fa6","efda848856",42,0,0,0,0,42,1,0,0,0,0,0,1,"Polar"
"288","1de00a5abb","70256a5c44",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"298","d1a35b6c45","f7f14a15fa",56,0,0,0,0,56,1,0,0,0,0,0,1,"Polar"
"299","958a730617","aef00f7375",26,0,0,0,0,26,1,0,0,0,0,0,1,"Polar"
"301","d69534561d","919b6e045b",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"303","e41389a2d0","10c0d67dea",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"304","044191caea","f262f7c9fa",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"308","3afaf358ee","1fa3d717c9",31,0,0,0,0,31,1,0,0,0,0,0,1,"Polar"
"309","a3e9ffd447","40c29e6870",38,15,0,0,0,53,0.716981132075472,0.283018867924528,0,0,0,0.283018867924528,0.716981132075472,"Polar-Temperate"
"310","e222245d29","74ad1fd937",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"319","ae4a53e1f4","07f614c867",12,8,0,0,0,20,0.6,0.4,0,0,0,0.4,0.6,"Polar-Temperate"
"326","0f1935f3d1","d16e1578ae",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"330","57f337434f","0763ea4342",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"338","ebe99608c5","e5ad32dfab",30,61,0,0,0,91,0.32967032967033,0.67032967032967,0,0,0,0.67032967032967,0.32967032967033,"Polar-Temperate"
"340","5ca6124bd6","ac45b769a3",8,0,0,0,0,8,1,0,0,0,0,0,1,"Polar"
"343","96e1059e8b","a94b1b207f",0,19,0,0,0,19,0,1,0,0,0,1,0,"Temperate"
"348","cd645f319c","20ab24386d",16,0,0,0,0,16,1,0,0,0,0,0,1,"Polar"
"349","8501e0565d","d2cc501492",14,0,0,0,0,14,1,0,0,0,0,0,1,"Polar"
"351","58b54b6004","1f937d8636",5,0,15,0,0,20,0.25,0,0,0.75,0,0.75,0.25,"Polar-Temperate"
"362","a921dfd88a","b870b527be",0,0,7,14,0,21,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,"Polar-Temperate"
"365","315f487054","dc38fb504b",16,0,0,0,0,16,1,0,0,0,0,0,1,"Polar"
"369","e6cdfe6b3b","1ef84f507d",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"375","69ccd172d1","e9a6ef5335",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"379","23bf8141ed","0a1f1e0b72",74,24,84,33,0,215,0.344186046511628,0.111627906976744,0,0.390697674418605,0.153488372093023,0.502325581395349,0.497674418604651,"Polar-Temperate"
"380","3f7e3f180d","a2d8d6d927",16,0,0,5,0,21,0.761904761904762,0,0,0,0.238095238095238,0,1,"Polar"
"381","0ab2f565ef","f4fc5b7a6f",11,8,7,0,0,26,0.423076923076923,0.307692307692308,0,0.269230769230769,0,0.576923076923077,0.423076923076923,"Polar-Temperate"
"383","18c55455ff","0a458dba37",56,75,92,28,0,251,0.223107569721116,0.298804780876494,0,0.366533864541833,0.111553784860558,0.665338645418327,0.334661354581673,"Polar-Temperate"
"386","d239a40879","d239a40879",8,25,62,0,0,95,0.0842105263157895,0.263157894736842,0,0.652631578947368,0,0.91578947368421,0.0842105263157895,"Temperate"
"388","58923a5e54","2d797698ac",43,0,0,0,0,43,1,0,0,0,0,0,1,"Polar"
"389","4c3ab16977","a5f2e0540c",38,22,0,0,0,60,0.633333333333333,0.366666666666667,0,0,0,0.366666666666667,0.633333333333333,"Polar-Temperate"
"391","563994de5a","0b60fd5255",23,18,0,0,0,41,0.560975609756098,0.439024390243902,0,0,0,0.439024390243902,0.560975609756098,"Polar-Temperate"
"392","a75de96a16","6376531975",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"394","6dd6a70825","2adbe95678",0,0,15,29,0,44,0,0,0,0.340909090909091,0.659090909090909,0.340909090909091,0.659090909090909,"Polar-Temperate"
"396","437a3428c7","397cff44b5",10,0,12,0,0,22,0.454545454545455,0,0,0.545454545454545,0,0.545454545454545,0.454545454545455,"Polar-Temperate"
"400","47b84e530c","b55a2415e5",58,66,143,49,9,325,0.178461538461538,0.203076923076923,0.0276923076923077,0.44,0.150769230769231,0.643076923076923,0.329230769230769,"Polar-Temperate"
"402","03068a5007","dfa935d5d6",17,41,53,0,0,111,0.153153153153153,0.369369369369369,0,0.477477477477477,0,0.846846846846847,0.153153153153153,"Polar-Temperate"
"403","ddd11b1ac7","6e725685ab",20,18,15,16,0,69,0.289855072463768,0.260869565217391,0,0.217391304347826,0.231884057971014,0.478260869565217,0.521739130434783,"Polar-Temperate"
"405","5edb2422c7","9d727cff1f",61,123,128,0,0,312,0.195512820512821,0.394230769230769,0,0.41025641025641,0,0.80448717948718,0.195512820512821,"Polar-Temperate"
"410","5be2174fbd","5609ee38b1",21,0,0,0,0,21,1,0,0,0,0,0,1,"Polar"
"412","a8a16c0ba6","41b82b66fb",49,46,40,0,0,135,0.362962962962963,0.340740740740741,0,0.296296296296296,0,0.637037037037037,0.362962962962963,"Polar-Temperate"
"413","389c4464e2","0622591394",16,62,16,0,0,94,0.170212765957447,0.659574468085106,0,0.170212765957447,0,0.829787234042553,0.170212765957447,"Polar-Temperate"
"414","cdf6c20364","07e76b8f13",6,0,15,21,0,42,0.142857142857143,0,0,0.357142857142857,0.5,0.357142857142857,0.642857142857143,"Polar-Temperate"
"416","671515593c","a82990c2cb",25,0,0,0,0,25,1,0,0,0,0,0,1,"Polar"
"417","dd65f76384","dd65f76384",6,8,0,0,0,14,0.428571428571429,0.571428571428571,0,0,0,0.571428571428571,0.428571428571429,"Polar-Temperate"
"418","52fb5befea","9119d1d0c7",39,9,6,0,0,54,0.722222222222222,0.166666666666667,0,0.111111111111111,0,0.277777777777778,0.722222222222222,"Polar-Temperate"
"422","39ee394054","248e1835e5",17,6,0,0,0,23,0.739130434782609,0.260869565217391,0,0,0,0.260869565217391,0.739130434782609,"Polar-Temperate"
"425","4017e58891","0b55872ada",76,7,27,0,5,115,0.660869565217391,0.0608695652173913,0.0434782608695652,0.234782608695652,0,0.295652173913043,0.660869565217391,"Polar-Temperate"
"429","227bad515c","dcce370790",14,0,0,0,0,14,1,0,0,0,0,0,1,"Polar"
"430","7d754681ed","8680aad0ea",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"431","6a701d323e","72c0bcc7eb",34,48,73,0,14,169,0.201183431952663,0.284023668639053,0.0828402366863905,0.431952662721893,0,0.715976331360947,0.201183431952663,"Cosmopolitan"
"440","0bb040f73b","1df4b03fb9",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"445","c40ed5316c","a8fe200dee",40,0,0,0,0,40,1,0,0,0,0,0,1,"Polar"
"451","952689ca91","8c0a8f8323",12,7,24,25,0,68,0.176470588235294,0.102941176470588,0,0.352941176470588,0.367647058823529,0.455882352941177,0.544117647058824,"Polar-Temperate"
"452","1014203bb3","bc39e64d1d",0,0,14,19,0,33,0,0,0,0.424242424242424,0.575757575757576,0.424242424242424,0.575757575757576,"Polar-Temperate"
"453","08d0947871","7b10db2580",50,55,13,0,0,118,0.423728813559322,0.466101694915254,0,0.110169491525424,0,0.576271186440678,0.423728813559322,"Polar-Temperate"
"454","d579e72c6c","a4fb7ad2ee",47,11,6,0,0,64,0.734375,0.171875,0,0.09375,0,0.265625,0.734375,"Polar-Temperate"
"464","399601b834","ec5c8e870a",30,0,19,7,0,56,0.535714285714286,0,0,0.339285714285714,0.125,0.339285714285714,0.660714285714286,"Polar-Temperate"
"468","2ac90a4249","5cd785ace0",67,0,0,0,0,67,1,0,0,0,0,0,1,"Polar"
"470","6a3694cf08","ef06afb5cd",13,0,8,0,0,21,0.619047619047619,0,0,0.380952380952381,0,0.380952380952381,0.619047619047619,"Polar-Temperate"
"472","3978ee0f2e","4d9c9dcacd",41,15,0,0,0,56,0.732142857142857,0.267857142857143,0,0,0,0.267857142857143,0.732142857142857,"Polar-Temperate"
"473","2c9a6ff3f2","099d277d8c",36,37,57,0,0,130,0.276923076923077,0.284615384615385,0,0.438461538461538,0,0.723076923076923,0.276923076923077,"Polar-Temperate"
"474","59915cba65","cb585149cf",23,11,0,0,0,34,0.676470588235294,0.323529411764706,0,0,0,0.323529411764706,0.676470588235294,"Polar-Temperate"
"475","429b5c6c27","429b5c6c27",0,0,11,0,0,11,0,0,0,1,0,1,0,"Temperate"
"478","bf4b1bf5c0","e87b293fd9",42,0,0,0,0,42,1,0,0,0,0,0,1,"Polar"
"479","ab340d8d7a","572aea2aa1",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"480","1dcbac6ce1","4f18cc8768",14,0,0,0,0,14,1,0,0,0,0,0,1,"Polar"
"482","43727a1d01","6a6d3d4a7e",18,21,13,0,0,52,0.346153846153846,0.403846153846154,0,0.25,0,0.653846153846154,0.346153846153846,"Polar-Temperate"
"485","97d39b89e8","97d39b89e8",0,6,0,0,0,6,0,1,0,0,0,1,0,"Temperate"
"487","51aeecdaf9","23d1f9527c",55,9,0,0,0,64,0.859375,0.140625,0,0,0,0.140625,0.859375,"Polar-Temperate"
"490","dbc63d164b","55848fa8ae",19,0,15,0,0,34,0.558823529411765,0,0,0.441176470588235,0,0.441176470588235,0.558823529411765,"Polar-Temperate"
"491","1b2ee2e501","c59dd8b84a",20,6,0,0,0,26,0.769230769230769,0.230769230769231,0,0,0,0.230769230769231,0.769230769230769,"Polar-Temperate"
"495","9ecc39cc5c","b9b557e295",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"497","36b10c35a8","162bbe252f",30,66,9,0,0,105,0.285714285714286,0.628571428571429,0,0.0857142857142857,0,0.714285714285714,0.285714285714286,"Polar-Temperate"
"498","1e27076c20","9b2479b121",38,32,0,0,0,70,0.542857142857143,0.457142857142857,0,0,0,0.457142857142857,0.542857142857143,"Polar-Temperate"
"500","8a4c11fbff","59710492aa",38,12,0,0,0,50,0.76,0.24,0,0,0,0.24,0.76,"Polar-Temperate"
"501","6cc3d97003","c825293db3",9,48,84,10,5,156,0.0576923076923077,0.307692307692308,0.032051282051282,0.538461538461538,0.0641025641025641,0.846153846153846,0.121794871794872,"Polar-Temperate"
"502","444290e2c5","ac1dd70d97",48,63,64,0,34,209,0.229665071770335,0.301435406698565,0.162679425837321,0.30622009569378,0,0.607655502392344,0.229665071770335,"Cosmopolitan"
"503","1d52733a8a","380bdc1b9c",0,6,0,0,0,6,0,1,0,0,0,1,0,"Temperate"
"504","41bc15abd6","eb8d31c2c9",20,7,0,0,0,27,0.740740740740741,0.259259259259259,0,0,0,0.259259259259259,0.740740740740741,"Polar-Temperate"
